"x" "y"
-7616016 5537902
-7626712 5510426
-7653060 5530620
-7659088 5540628
-7689920 5488213
-7719322 5467117
-7743349 5457447
-7753120 5454267
-7758561 5460415
-7767344 5448088
-7775820 5466346
-7777549 5447619
-7786115 5444575
-7814318 5402808
-7882590 5288404
-7867288 5251618
-7901208 5201968
-7865739 5165302
-7817380 5121448
-7796415 5151702
-7806614 5173342
-7785247 5135253
NA NA
-7481411 5650337
-7473031 5606529
-7465485 5587127
-7544243 5560505
-7564838 5544706
-7575629 5519162
NA NA
-8437737 5542622
-8489125 5475848
-8475246 5453665
-8485572 5429531
-8498526 5391032
-8601501 5356644
-8645192 5356127
-8791544 5356347
-8800729 5353622
NA NA
-8801379 5327623
-8779547 5285499
-8875564 5202675
NA NA
-8875564 5202675
-9133393 5087899
-9228689 5085378
-9218305 5096949
-9243442 5096574
-9285773 5134756
-9259023 5179222
NA NA
-9200210 5244394
-9217463 5259394
-9259023 5179222
NA NA
-10029483 1545071
-10221044 1598798
-10268912 1637198
NA NA
-10002548 1581039
-10029483 1545071
NA NA
-9965568 1600298
-10002548 1581039
NA NA
-9946918 1623338
-9961422 1623470
-9965568 1600298
NA NA
-9946114 1623911
-9946918 1623338
NA NA
-9924224 1697683
-9938818 1635380
-9946114 1623911
NA NA
-9831053 1766696
-9924224 1697683
NA NA
-9819827 1772672
-9831053 1766696
NA NA
-9897475 1792406
-9857707 1780995
-9853319 1794143
-9819827 1772672
NA NA
-9931674 1791955
-9897475 1792406
NA NA
-9923204 2016358
-9931674 1791955
NA NA
-9829414 2094165
-9825701 2079140
-9804927 2063898
-9816708 1981275
-9850073 1846098
-9897475 1792406
NA NA
-9946114 1623911
-9869672 1575871
NA NA
-9869672 1575871
-9851213 1570804
NA NA
-9851213 1570804
-9850538 1558825
NA NA
-9835320 1559048
-9850538 1558825
NA NA
-9800629 1566249
-9824279 1566440
-9835320 1559048
NA NA
-9800629 1566249
-9796884 1559304
NA NA
-9780468 1563161
-9796884 1559304
NA NA
-9780468 1563161
-9762188 1553412
NA NA
-9762188 1553412
-9775767 1506168
NA NA
-9718402 1458207
-9731579 1500065
-9745675 1499966
-9775767 1506168
NA NA
-9377982 1782149
-9349599 1749717
-9361934 1749876
-9353119 1733835
-9309920 1721395
-9296565 1719729
-9300398 1725144
-9254201 1688556
NA NA
-9536797 1798255
-9420097 1786551
-9415798 1788354
-9377982 1782149
NA NA
-9819827 1772672
-9746823 1785430
-9589028 1792114
-9574556 1806363
-9536797 1798255
NA NA
-9914108 1501815
-10029483 1545071
NA NA
-9775767 1506168
-9801031 1478716
-9827035 1478683
-9846393 1479318
-9914108 1501815
NA NA
-9493911 1150399
-9456184 1091362
-9481416 1079255
-9553093 1138046
-9536555 1185582
-9559031 1217742
-9538991 1240643
NA NA
-9306649 1002077
-9407424 1064830
-9461784 1129189
-9493911 1150399
NA NA
-9227949 896617
-9273591 968127
-9289357 968127
-9279586 937886
-9314812 970811
-9306649 1002077
NA NA
-9231629 1013062
-9217839 991186
-9239022 933921
-9227949 896617
NA NA
-9231629 1013062
-9221023 1062101
NA NA
-9221023 1062101
-9225602 1068717
NA NA
-9225602 1068717
-9190688 1069843
NA NA
-9311254 1223600
-9218088 1089608
-9190688 1069843
NA NA
-9176343 932889
-9225104 908921
-9227949 896617
NA NA
-9040809 881721
-9050892 854851
-9083108 884973
-9118360 913387
-9143132 913548
-9166413 927952
-9176343 932889
NA NA
-8947949 893403
-8913284 830769
-9008803 809386
-9033046 876261
-9040809 881721
NA NA
-8861397 993064
-8925561 929544
-8958218 905455
-8947949 893403
NA NA
-8853393 998507
-8861397 993064
NA NA
-8791672 1021924
-8853393 998507
NA NA
-8653853 907890
-8701874 944140
-8716588 944075
-8725836 944327
-8733070 942799
-8773520 984737
-8799370 1019831
-8791672 1021924
NA NA
-8670640 806860
-8724600 900269
-8689565 929853
-8653853 907890
NA NA
-8612415 969405
-8612165 926044
-8600264 884251
-8640619 848178
-8655614 849890
-8670640 806860
NA NA
-8685916 1030918
-8612415 969405
NA NA
-8886509 1048278
-8839476 1070315
-8801564 1057743
-8685916 1030918
NA NA
-8909329 1037341
-8886509 1048278
NA NA
-9080021 987681
-8989942 1001948
-8909329 1037341
NA NA
-9190688 1069843
-9171394 1038311
-9157631 1020329
-9118640 1002232
-9110323 1009213
-9108774 1019734
-9080021 987681
NA NA
-8611240 725130
-8646894 786072
-8670640 806860
NA NA
-8749244 216745
-8744977 265017
-8666839 284884
-8651008 330458
-8608052 369538
-8589964 430173
-8604033 430109
-8605054 451003
-8619928 448803
-8610406 477043
-8616745 599193
-8623206 623791
-8603166 653566
-8615814 698900
-8611240 725130
NA NA
-8749244 216745
-8760968 200287
-8783692 200497
-8788515 176403
-8773054 160069
NA NA
-8773054 160069
-8753511 140770
NA NA
-8753511 140770
-8749308 141293
NA NA
-8749308 141293
-8745290 133440
NA NA
-8745290 133440
-8673702 98150
NA NA
-8673702 98150
-8661705 89679
NA NA
-8661705 89679
-8644573 90789
NA NA
-8644573 90789
-8616496 44653
NA NA
-8616496 44653
-8505766 27642
NA NA
-8505766 27642
-8505453 44404
NA NA
-8505453 44404
-8450071 17999
-8380345 -11997
NA NA
-7786395 -470660
-7729897 -110366
-7777363 -36546
-7798296 14472
-7784041 66110
-7712581 71155
-7704264 68897
NA NA
-7774800 118251
-7702937 103623
-7704264 68897
NA NA
-7774800 118251
-7774800 190881
NA NA
-7774800 190881
-7723002 192393
NA NA
-7723002 192393
-7599688 203158
-7580604 216496
-7548943 198519
-7494550 232215
-7468208 141759
-7444150 136126
NA NA
-7552528 311012
-7502096 284393
-7473279 222003
-7444150 136126
NA NA
-7501171 363003
-7552528 311012
NA NA
-7501171 363003
-7507504 407086
-7539573 455402
NA NA
-7539573 455402
-7547426 562148
-7536015 606958
-7513168 682419
-7508902 690752
NA NA
-7728845 682419
-7514559 692773
-7508902 690752
NA NA
-7728845 682419
-7805625 778469
NA NA
-8022297 788096
-7887909 789626
-7805625 778469
NA NA
-8022297 788096
-8053804 826408
-8061133 894028
-8074183 949608
-8115621 1018391
-8139150 1033109
